           TEMP            SUMEN             EPSE           SUMAMN             EPSM              CAP             SUSC
         1.4000          -1.9352           0.8901           0.9405           2.9075        1781.5818        8147.2418
         1.5000          -1.8943           1.8510           0.8324          14.9825        3227.3807       39184.3693
         1.6000          -1.8975           1.0593           0.9096           4.5740        1623.3380       11215.0139
         1.7000          -1.6947           0.1499           0.3633           1.5972         203.4180        3685.7878
         1.8000          -1.7499           2.0564           0.6670          17.5548        2489.8464       38259.7107
         1.9000          -1.7586           2.0968           0.8902           2.6429        2278.6074        5456.9121
         2.0000          -1.6255           3.1181           0.6271          18.9231        3058.0388       37117.8061
         2.1000          -1.5476           2.5311           0.5030          23.6895        2251.5637       44254.2778
         2.2000          -1.5352           2.2399           0.7775           1.1303        1815.5079        2015.4822
         2.3000          -1.2863           1.6895           0.3318           5.1319        1252.9112        8753.3277
         2.4000          -1.2318           1.1889           0.4080           6.2375         809.7261       10195.6694
         2.5000          -1.0877           1.0676           0.1547           2.8718         670.1385        4506.4776
         2.6000          -1.0423           0.6677           0.1812           3.6186         387.5100        5459.9787
         2.7000          -0.9670           0.6390           0.1187           0.9026         343.8460        1311.3943
         2.8000          -0.8940           0.7111           0.1379           1.7259         355.8030        2418.1163
         2.9000          -0.8536           0.7695           0.0835           0.8781         358.9659        1187.8498
         3.0000          -0.8398           1.1847           0.0843           0.5995         516.3927         783.9261
         3.1000          -0.7544           0.4885           0.0920           0.6345         199.4137         802.8952
         3.2000          -0.7579           0.3797           0.0696           0.7553         145.4553         925.9280
         3.3000          -0.7043           0.5965           0.0812           0.9759         214.8750        1160.1108
         3.4000          -0.6683           0.9892           0.0802           0.6956         335.7072         802.5876
