           TEMP            SUMEN             EPSE           SUMAMN             EPSM              CAP             SUSC
         1.4000          -1.9427           0.6920           0.9443           2.0537        1385.0868        5754.7289
         1.5000          -1.9158           0.7781           0.9204           3.1649        1356.7054        8277.4072
         1.6000          -1.9209           0.2935           0.9747           0.0924         449.7230         226.6343
         1.7000          -1.8887           0.2891           0.9615           0.1724         392.4815         397.7839
         1.8000          -1.8433           0.7027           0.9273           1.4920         850.8601        3251.6590
         1.9000          -1.6706           2.2358           0.5618          18.9113        2429.6928       39046.9981
         2.0000          -1.6840           1.2707           0.8443           2.2300        1246.2715        4374.2050
         2.1000          -1.5897           2.5141           0.6968          11.8335        2236.4684       22106.1285
         2.2000          -1.4360           2.7154           0.5244          13.9281        2200.9203       24836.3636
         2.3000          -1.2552           1.8067           0.2222           4.6820        1339.8279        7985.9039
         2.4000          -1.2248           1.0541           0.4821           4.3906         717.9286        7176.7498
         2.5000          -1.1682           1.1412           0.3870           5.4087         716.3320        8487.2864
         2.6000          -1.0468           0.6583           0.1187           1.3919         382.0289        2100.1321
         2.7000          -0.9771           0.6303           0.1221           2.3663         339.2132        3438.2025
         2.8000          -0.9214           0.6826           0.0876           0.8765         341.5795        1228.0174
         2.9000          -0.8468           0.9734           0.1324           1.6263         454.0697        2199.9733
         3.0000          -0.8297           0.7234           0.0808           0.9439         315.3315        1234.2752
         3.1000          -0.7740           1.3100           0.0917           0.7492         534.7523         948.1619
         3.2000          -0.7513           0.5721           0.0780           0.6635         219.1569         813.4072
         3.3000          -0.7011           0.6362           0.0785           0.9213         229.1767        1095.2539
         3.4000          -0.6936           0.9043           0.0787           0.3775         306.8984         435.5809
